model,codec,crf,n,dice_mean,dice_5pct,hd95_mean,mbps_mean
baseline,libsvtav1,18,299,0.8645,0.7896,4.7643,2.0550
baseline,libsvtav1,23,299,0.8638,0.7859,4.6991,1.4852
baseline,libsvtav1,28,299,0.8615,0.7873,4.8478,0.9620
baseline,libsvtav1,33,299,0.8495,0.7677,5.4135,0.6108
baseline,libsvtav1,38,299,0.8389,0.7580,5.6043,0.3787
baseline,libsvtav1,43,299,0.8375,0.7595,6.0605,0.2349
baseline,libsvtav1,50,299,0.8219,0.7328,6.8203,0.1289
baseline,libsvtav1,55,299,0.8024,0.6981,7.4956,0.0827
baseline,libsvtav1,63,299,0.7075,0.5350,10.3807,0.0222
baseline,libx264,18,299,0.8642,0.7866,4.6650,2.0203
baseline,libx264,23,299,0.8595,0.7808,5.0517,0.8499
baseline,libx264,28,299,0.8441,0.7611,6.1322,0.3474
baseline,libx264,33,299,0.8011,0.6866,8.2231,0.1537
baseline,libx264,38,299,0.7450,0.5952,10.2397,0.0694
baseline,libx264,40,299,0.7102,0.5550,11.3241,0.0523
baseline,libx264,42,299,0.6665,0.5017,11.8184,0.0398
baseline,libx264,43,299,0.6259,0.3831,12.6756,0.0348
baseline,libx264,45,299,0.5552,0.2980,14.8554,0.0269
baseline,libx264,51,299,0.3559,0.0959,20.5267,0.0171
baseline,libx265,18,299,0.8569,0.7702,4.9270,1.8721
baseline,libx265,23,299,0.8538,0.7632,5.2200,0.8580
baseline,libx265,28,299,0.8422,0.7533,5.6183,0.3648
baseline,libx265,33,299,0.8114,0.7113,7.1768,0.1573
baseline,libx265,38,299,0.7709,0.6542,9.0794,0.0688
baseline,libx265,43,299,0.6967,0.5185,14.1157,0.0353
cal1,libsvtav1,18,299,0.8309,0.7332,7.9206,2.0550
cal1,libsvtav1,23,299,0.8309,0.7357,7.6813,1.4852
cal1,libsvtav1,28,299,0.8306,0.7339,7.6892,0.9620
cal1,libsvtav1,33,299,0.8304,0.7348,7.6003,0.6108
cal1,libsvtav1,38,299,0.8306,0.7276,7.4338,0.3787
cal1,libsvtav1,43,299,0.8298,0.7300,7.5727,0.2349
cal1,libx264,18,299,0.8308,0.7365,8.0112,2.0203
cal1,libx264,23,299,0.8302,0.7356,7.8822,0.8499
cal1,libx264,28,299,0.8289,0.7339,7.8196,0.3474
cal1,libx264,33,299,0.8245,0.7147,8.2716,0.1537
cal1,libx264,38,299,0.8127,0.7064,8.7497,0.0694
cal1,libx264,43,299,0.7847,0.6400,10.9671,0.0348
cal1,libx265,18,299,0.8304,0.7324,7.8003,1.8721
cal1,libx265,23,299,0.8305,0.7340,7.7679,0.8580
cal1,libx265,28,299,0.8303,0.7256,7.6615,0.3648
cal1,libx265,33,299,0.8280,0.7231,7.5186,0.1573
