case_id,crf,avg_mbps
00041,18,1.836807
00132,18,1.724828
00085,18,1.710458
00066,18,1.450381
00084,18,1.816006
00086,18,1.398210
00208,18,1.803930
00088,18,1.585057
00225,18,0.941330
00244,18,1.163582
00296,18,1.166998
00509,18,1.533340
00295,18,1.515985
00358,18,1.531811
00429,18,1.574256
00482,18,1.470851
00523,18,1.623787
00512,18,1.930617
00583,18,1.308083
00552,18,1.733386
00665,18,1.222058
00759,18,1.542397
00602,18,1.797788
00761,18,1.523837
00788,18,1.604104
00866,18,1.598256
00802,18,1.639191
01122,18,1.452143
01043,18,1.628385
01057,18,1.259495
00961,18,1.798828
01202,18,1.208983
01230,18,1.416306
01162,18,1.522103
01258,18,1.777905
01333,18,1.499803
01385,18,1.587141
01283,18,1.401612
01370,18,1.436781
01443,18,1.054561
01305,18,1.729482
01400,18,1.662492
01563,18,1.740651
01419,18,1.728378
01535,18,1.564296
01711,18,1.495141
01738,18,1.824567
01618,18,1.510557
01567,18,1.421650
01636,18,1.183412
00041,23,1.339695
00066,23,1.044600
00084,23,1.298797
00225,23,0.677892
00085,23,1.230319
00086,23,1.013810
00132,23,1.259034
00088,23,1.152893
00244,23,0.839661
00208,23,1.300200
00296,23,0.849130
00358,23,1.109893
00295,23,1.096488
00509,23,1.126632
00523,23,1.192527
00429,23,1.162132
00482,23,1.077970
00512,23,1.399835
00552,23,1.264598
00583,23,0.949244
00665,23,0.879493
00602,23,1.313424
00866,23,1.138896
00759,23,1.138571
00761,23,1.108369
00788,23,1.162238
00802,23,1.189272
01043,23,1.191288
01057,23,0.884160
01122,23,1.056361
01202,23,0.869686
00961,23,1.293623
01230,23,1.040688
01258,23,1.301720
01162,23,1.102758
01333,23,1.088792
01283,23,1.016388
01385,23,1.133445
01443,23,0.776934
01305,23,1.295051
01370,23,1.042746
01400,23,1.211769
01419,23,1.251073
01563,23,1.275307
01535,23,1.133172
01711,23,1.091366
01738,23,1.330814
00041,28,0.864947
01567,23,1.042704
01618,23,1.100451
01636,23,0.862637
00066,28,0.671849
00225,28,0.435417
00084,28,0.833769
00085,28,0.801020
00088,28,0.754523
00208,28,0.853580
00132,28,0.821701
00086,28,0.657731
00244,28,0.532106
00296,28,0.550043
00295,28,0.721792
00509,28,0.725730
00523,28,0.761259
00429,28,0.764219
00358,28,0.727094
00482,28,0.706863
00512,28,0.911545
00552,28,0.839762
00665,28,0.567334
00602,28,0.865867
00583,28,0.608991
00759,28,0.754734
00761,28,0.731418
00788,28,0.756728
00866,28,0.715896
00802,28,0.770325
01057,28,0.542335
01043,28,0.760327
01122,28,0.672023
01202,28,0.553813
