folder,case_id,dice_avg,hd95_avg,dice_class_1,avg_mbps,bits_per_voxel
libaom_av1_crf18,00041,0.8763663579,3.9159979820,0.8763663579,,
libaom_av1_crf18,00132,0.7854572292,5.0724697113,0.7854572292,,
libaom_av1_crf18,00208,0.8626367763,5.1421966553,0.8626367763,,
libaom_av1_crf18,00066,0.8498676433,5.2591705322,0.8498676433,,
libaom_av1_crf18,00084,0.8069076050,5.8366641045,0.8069076050,,
libaom_av1_crf18,00225,0.8037207352,7.5894613266,0.8037207352,,
libaom_av1_crf18,00088,0.8443494664,5.1026171446,0.8443494664,,
libaom_av1_crf18,00085,0.8544992680,4.2050213814,0.8544992680,,
libaom_av1_crf18,00086,0.8389663169,5.1184811592,0.8389663169,,
libaom_av1_crf18,00244,0.8504393053,7.0880179405,0.8504393053,,
libaom_av1_crf18,00296,0.8040711557,8.8904438019,0.8040711557,,
libaom_av1_crf18,00509,0.8163056973,5.5266089439,0.8163056973,,
libaom_av1_crf18,00295,0.8296308405,5.2899224281,0.8296308405,,
libaom_av1_crf18,00523,0.8369270152,4.8421254158,0.8369270152,,
libaom_av1_crf18,00482,0.9073666036,3.8859048128,0.9073666036,,
libaom_av1_crf18,00429,0.8987631626,2.7906107903,0.8987631626,,
libaom_av1_crf18,00358,0.8573692582,4.0324120522,0.8573692582,,
libaom_av1_crf18,00512,0.8421413134,4.1856865883,0.8421413134,,
libaom_av1_crf18,00552,0.8397297095,4.9492936134,0.8397297095,,
libaom_av1_crf18,00583,0.8137749637,5.6243495941,0.8137749637,,
libaom_av1_crf18,00602,0.9039578602,3.4294450283,0.9039578602,,
libaom_av1_crf18,00665,0.8368543417,5.4410996437,0.8368543417,,
libaom_av1_crf18,00761,0.8926533889,4.3751797676,0.8926533889,,
libaom_av1_crf18,00759,0.8473788061,5.2253799915,0.8473788061,,
libaom_av1_crf18,00866,0.8912022604,4.5171337128,0.8912022604,,
libaom_av1_crf18,00788,0.9205700688,3.2844724655,0.9205700688,,
libaom_av1_crf18,00802,0.7926816455,6.5240315199,0.7926816455,,
libaom_av1_crf18,01057,0.8505382015,4.1731739044,0.8505382015,,
libaom_av1_crf18,01122,0.8301312397,3.9699370861,0.8301312397,,
libaom_av1_crf18,01043,0.7232986183,7.2635297775,0.7232986183,,
libaom_av1_crf18,00961,0.8601093337,4.4212841988,0.8601093337,,
